Default Dataset,
X,Y
3.052079375,163.4750069
6.962218945,97.55125175
8.051338696,89.03254478
14.10509909,71.91281889
16.117813,49.03821258
19.00823119,40.48124795
20.09702891,30.90060092
16.98134778,16.63049149
16.04889768,1.783039101
10.92243484,16.75917637
10.98088405,29.5012978
8.965110812,42.28747351
7.00762577,67.28480063
1.96762912,7.391844805
0.873517837,0.549519203
0.929551793,4.228051757
0.931161964,9.537752072
