Default Dataset,
X,Y
0.897491499,76.30419437
0.939476707,132.3862824
0.940860835,193.5758018
1.915748144,91.39395505
1.914133328,20.00618244
2.984064076,519.5046668
6.930904343,401.4191923
7.95965729,880.529475
6.997457819,1543.615249
9.073072717,1502.398693
13.98522674,858.9038631
11.00473833,497.4721214
10.9209986,395.5061986
17.03180726,542.1351555
20.00779725,704.7009592
19.02379777,404.0518033
16.00501516,149.7100252
16.0022469,27.33098647
