Default Dataset,
X,Y
101.4820201,10.48228346
150.2818354,10.43307087
302.1687399,8.267716535
399.6156666,8.366141732
301.9609926,3.000393701
546.0545317,4.133858268
1279.730364,3.100393701
1395.374328,3.200393701
2314.563355,5.265748031
3993.095352,2.608267717
1343.569013,18.8484252
